en,zh-cn,zh-tw,pos,description
Manx pound,马恩岛镑,曼島鎊,noun,货币名称
Mauritanian ouguiya,毛里塔尼亚乌吉亚,茅利塔尼亞烏吉亞,noun,货币名称
Mauritian rupee,毛里求斯卢比,模里西斯盧比,noun,货币名称
Mexican peso,墨西哥比绍,墨西哥披索,noun,货币名称
Moldovan leu,摩尔多瓦列伊,摩爾多瓦列伊,noun,货币名称
Mongolian t&ouml;gr&ouml;g,蒙古图格鲁格,蒙古圖格里克,noun,货币名称
Moroccan dirham,摩洛哥迪拉姆,摩洛哥迪爾汗,noun,货币名称
Mozambican metical,莫桑比克梅蒂卡尔,莫三比克梅蒂卡爾,noun,货币名称
Namibian dollar,纳米比亚元,納米比亞元,noun,货币名称
Nepalese rupee,尼泊尔卢比,尼泊爾盧比,noun,货币名称
Netherlands Antillean guilder,荷属安的列斯盾,荷屬安的列斯盾,noun,货币名称
New Taiwan dollar,新台币,新台幣,noun,货币名称
New Zealand dollar,新西兰元,紐西蘭元,noun,货币名称
Nicaraguan c&oacute;rdoba,尼加拉瓜科尔多瓦,尼加拉瓜科多巴,noun,货币名称
Nigerian naira,尼日利亚奈拉,奈及利亞奈拉,noun,货币名称
North Korean won,朝鲜元,朝鮮圓,noun,货币名称
Norwegian krone,挪威克朗,挪威克朗,noun,货币名称
Omani rial,阿曼里亚尔,阿曼里亞爾,noun,货币名称
Pakistani rupee,巴基斯坦卢比,巴基斯坦盧比,noun,货币名称
Panamanian balboa,巴拿马巴波亚,巴拿馬巴波亞,noun,货币名称
Papua New Guinean kina,巴布亚新几内亚基那,巴布亞紐幾內亞基那,noun,货币名称
Paraguayan guaran&iacute;,巴拉圭瓜拉尼,巴拉圭瓜拉尼,noun,货币名称
Peruvian nuevo sol,秘鲁新索尔,秘魯新索爾,noun,货币名称
Philippine peso,菲律宾比绍,菲律賓披索,noun,货币名称
Polish z&#x142;oty,波兰兹罗提,波蘭茲羅提,noun,货币名称
Pound sterling,英镑,英鎊,noun,货币名称
Qatari riyal,卡塔尔里亚尔,卡達里亞爾,noun,货币名称
Romanian leu,罗马尼亚列伊,羅馬尼亞列伊,noun,货币名称
Russian ruble,俄罗斯卢布,俄羅斯盧布,noun,货币名称
Rwandan franc,卢旺达法郎,盧安達法郎,noun,货币名称
S&atilde;o Tom&eacute; and Pr&iacute;ncipe dobra,圣多美和普林西比·多布拉,聖多美和普林西比多布拉,noun,货币名称
Saint Helena pound,圣赫勒拿镑,聖赫勒拿島鎊,noun,货币名称
Samoan t&#x101;l&#x101;,萨摩亚语,薩摩亞塔拉,noun,货币名称
Saudi riyal,沙特里亚尔,沙特里亞爾,noun,货币名称
Serbian dinar,塞尔维亚第纳尔,塞爾維亞戴納,noun,货币名称
Seychellois rupee,塞舌尔卢比,塞席爾盧比,noun,货币名称
Sierra Leonean leone,塞拉利昂利昂,獅子山利昂,noun,货币名称
Singapore dollar,新加坡元,新加坡元,noun,货币名称
Solomon Islands dollar,所罗门群岛元,索羅門群島元,noun,货币名称
Somali shilling,索马里先令,索馬利亞先令,noun,货币名称
South African rand,南非兰特,南非蘭特,noun,货币名称
South Korean won,韩元,韓圓,noun,货币名称
South Sudanese pound,南苏丹镑,南蘇丹鎊,noun,货币名称
Sri Lankan rupee,斯里兰卡卢比,斯里蘭卡盧比,noun,货币名称
Sudanese pound,苏丹镑,蘇丹鎊,noun,货币名称
Surinamese dollar,苏里南元,蘇利南元,noun,货币名称
Swazi lilangeni,斯威士兰吉尼,史瓦濟蘭里蘭吉尼,noun,货币名称
Swedish krona,瑞典克朗,瑞典克朗,noun,货币名称
Swiss franc,瑞士法郎,瑞士法郎,noun,货币名称
Syrian pound,叙利亚镑,敘利亞鎊,noun,货币名称
Tajikistani somoni,塔吉克斯坦索莫尼,塔吉克斯坦索莫尼,noun,货币名称
Tanzanian shilling,坦桑尼亚先令,坦尚尼亞先令,noun,货币名称
Thai baht,泰铢,泰銖,noun,货币名称
Tongan pa&#x2bb;anga,汤加潘加,東加潘加,noun,货币名称
Transnistrian ruble,德涅斯特河沿岸卢布,聶斯特河沿岸盧布,noun,货币名称
Trinidad and Tobago dollar,特立尼达和多巴哥元,千里達及托巴哥元,noun,货币名称
Tunisian dinar,突尼斯第纳尔,突尼西亞戴納,noun,货币名称
Turkish lira,土耳其里拉,土耳其里拉,noun,货币名称
Turkmenistan manat,土库曼斯坦马纳特,土庫曼斯坦馬納特,noun,货币名称
Ugandan shilling,乌干达先令,烏干達先令,noun,货币名称
Ukrainian hryvnia,乌克兰格里夫纳,烏克蘭格里夫納,noun,货币名称
United Arab Emirates dirham,阿联酋迪拉姆,阿拉伯聯合大公國迪拉姆,noun,货币名称
United States dollar,美元,美元,noun,货币名称
Uruguayan peso,乌拉圭比绍,烏拉圭披索,noun,货币名称
Uzbekistani som,乌兹别克斯坦索姆,烏茲別克索姆,noun,货币名称
Vanuatu vatu,瓦努阿图瓦图,萬那杜瓦圖,noun,货币名称
Venezuelan bol&iacute;var,委内瑞拉玻利瓦尔,委內瑞拉玻利瓦爾,noun,货币名称
Vietnamese &#x111;&#x1ed3;ng,越南盾,越南盾,noun,货币名称
West African CFA franc,西非法郎 (非洲金融共同体法郎),西非法郎 (非洲金融共同體法郎),noun,货币名称
Yemeni rial,也门里亚尔,葉門里亞爾,noun,货币名称
